collection,count
Papers Past,26122911
Radio New Zealand,738441
iNaturalist NZ — Mātaki Taiao,527397
TAPUHI,333192
Auckland Libraries Heritage Images Collection,270234
Auckland Museum Collections,248128
New Zealand Electronic Text Collection,222513
New Zealand Gazette,218771
Te Papa Collections Online,205161
Cenotaph Database,184397
Nelson Provincial Museum,153109
Puke Ariki,141428
Archway,140914
QuakeStudies Repository,128977
Kura Heritage Collections Online,109816
National Library of New Zealand Catalogue,97046
Trove,83289
Canterbury Museum,68842
TVNZ,65271
Antarctica NZ Digital Asset Manager,55348
Anthropology Photographic Archive,53902
Upper Hutt Newspaper Archive,51184
Figure.NZ,46308
Kete Christchurch,45055
Transactions and Proceedings of the Royal Society of New Zealand 1868-1961,37625
Christchurch City Libraries Flickr,36335
Te Ara - The Encyclopedia of New Zealand,35183
ResearchSpace@Auckland,34178
Kete New Plymouth,33245
Hocken Snapshop,32993
V.C. Browne & Son NZ Aerial Photograph Collection,31461
Newshub,31274
MOTAT,30749
mychillybin.co.nz,30553
Hawke's Bay Knowledge Bank,29536
Kete Horowhenua,29386
Lincoln University Living Heritage: Tikaka Tōku Iho,28845
Upper Hutt City Library Heritage Collections,27685
data.govt.nz,27418
NZHistory - Suffrage petition signatories,24603
Picture Wairarapa,24238
SOUNZ,22929
History of the University of Auckland,22400
Digital Public Library of America,19922
NZHistory,19322
The Spinoff,18421
Manawatū Heritage,18259
South Canterbury Museum,18126
UC Research Repository,17740
Auckland Art Gallery Toi o Tāmaki,17251
Ministry for Culture and Heritage Te Ara Flickr,16656
Air Force Museum of New Zealand Photograph Collection,16608
Hutt City Council Archives,15899
MTG Hawke's Bay,15633
Tauranga Memories,14842
Gisborne Photo News,14190
National Army Museum,14035
Wikipedia,14020
Massey Research Online,13730
Sciblogs,12701
Becker Fraser Earthquake Photographs,12564
ResearchCommons@Waikato,12433
Presbyterian Research Centre,12276
Hamilton Heritage Collections,10795
Howick Historical Village NZMuseums,10322
95bFM,9814
John Kinder Theological Library,9126
The James Wallace Arts Trust,9113
Otago University Research Archive,9052
VUW ResearchArchive,9001
Dictionary of New Zealand Biography,8810
NZFUNGI,8674
Nelson Photo News,8222
Landcare Research Digital Library,7959
Auckland Libraries Manuscripts Collection,7936
Christchurch City Libraries Heritage Images Collection,7756
Ngā Taonga Sound & Vision,7726
Tuwhera,7686
Culture Waitaki,7586
Early New Zealand Statutes,7476
Archives Central,7113
Te Ao Hou,7066
Tāmiro,6910
AtoJsOnline,6747
Lincoln University Research Archive,6428
DigitalNZ Stories,6427
NZHistory - South African War soldiers,6370
Flickr,6111
The Encyclopedia of New Zealand 1966,6086
Public Address,5795
TVNZ OnDemand,5781
Waikato Museum Te Whare Taonga o Waikato,5766
NZ On Screen,5553
Dunedin Public Art Gallery,5367
Early New Zealand Books,5313
Radio New Zealand YouTube,5245
NZEI Heritage,5126
Landfall Archive,4988
Otago University Research Heritage,4968
Archives New Zealand Te Rua Mahara o te Kāwanatanga Flickr,4913
Waimate Museum and Archives PastPerfect,4795
Journal of the Polynesian Society,4745
Historic Graffiti at Trentham Ranges,4485
Science Learning Hub,4315
Alexander Turnbull Library Flickr,4307
28th Māori Battalion Te Ope Taua 28,4266
Kete Rotorua,4258
The Bookshelf,4195
Sarjeant Gallery Te Whare o Rehua Whanganui,4126
Directory of Open Access Journals,4104
Feilding Library,4062
The Hub,3817
Kete West Coast,3740
tv3.co.nz,3684
The Wireless,3646
The New Zealand Medical Journal,3491
Unitec Research Bank,3444
New Zealand Plant Conservation Network,3323
Mataura Museum NZMuseums,3216
New Zealand Regional Botanical Society Journals,2841
The British Library Flickr,2819
Kete Selwyn,2815
Whangarei Libraries,2662
Aotearoa People's Network Kaharoa Flickr,2641
Museums Victoria,2463
Ministry for Culture and Heritage Manatu Taonga Flickr,2332
HathiTrust Digital Library,2317
OMSAA Historical Artefacts,2302
New Zealand Journal of History,2134
Kete Tasman,2053
He Purapura Marara Scattered Seeds,2001
Illustrated London News: New Zealand,1963
New Zealand Fashion Museum,1955
Māori Niupepa Collection,1816
Digital Collections (Pictures),1762
Dunedin City Council Archives Flickr,1758
Open Polytechnic Repository,1742
Reserve Bank of New Zealand,1738
Ministry of Health Publications,1669
Matapihi,1611
AgEcon Search,1527
Hurunui Kete,1521
AttitudeLive YouTube,1477
War Art Online,1477
Flora of New Zealand,1476
AudioCulture,1337
State Library of Victoria,1229
LERNZ Freshwater Database,1193
Ministry for the Environment Publications,1159
New Zealand Maritime Museum,1150
Central Otago Memory Bank,1116
Open Access Victoria University of Wellington,1062
PSA Journal,1044
New Zealand Cricket Museum,1004
NZ Musician,1003
Kete Hauraki Coromandel,925
E-Tangata,865
Nga Manu Nature Reserve Flickr,851
Western Bay Community Archives,849
Science Media Centre,813
Department of Conservation Te Papa Atawhai YouTube,806
The Hutt City Libraries Online Heritage Collection,794
Motu Economic and Public Policy Research,784
EDtalks,778
Auckland War Memorial Museum Tāmaki Paenga Hira Flickr,756
Play It Strange,754
Deutsche Digitale Bibliothek,748
TheProw.org.nz,735
New Zealand Taxation,723
Wairarapa Library Service Kete,723
QuakeStories,720
95bFM YouTube,709
Museum of New Zealand Te Papa Tongarewa YouTube,707
Landfall Review Online,705
Tourism New Zealand YouTube,673
Archive of Māori and Pacific Music,662
NABIS,652
Auckland War Memorial Museum Tāmaki Paenga Hira YouTube,623
Kete Waimakariri,599
Marsden Online Archive,599
Historical Photos of the Waikato and New Zealand,597
Archives New Zealand YouTube,592
Kete Kawerau,589
NZ Tech Podcast,554
Kete Taupo,551
The Treasury,535
New Zealand Book Council,505
The Wireless YouTube,479
Shared Repository,446
Kete Central Hawke's Bay,429
Victoria and Albert Museum,421
Kete Tararua,417
NIWA YouTube,383
Kete Masterton,374
Ngā Pae o te Māramatanga Media Centre,320
Te Puni Kōkiri,316
Beacon,308
Nursing Education and Research Foundation - Nursing Oral Histories in NZ,308
Tusk - Emergent Culture,308
Lincoln University Resources for Education,302
Powerhouse Museum,300
Remuera Heritage,295
Ara Institute of Canterbury Repository,292
Rotorua Museum of Art & History Te Whare Taonga o Te Arawa NZMuseums,290
Reserve Bank of New Zealand NZMuseums,289
Young Ocean Explorers,289
Wanganui Collegiate School Museum NZMuseums,283
Lincoln Planning Review,282
Archives@Victoria,271
Kete King Country,264
Public Health Surveillance reports,262
Landscape Review,258
Auckland Art Gallery Toi o Tāmaki YouTube,251
The Cuba Street Memories Project,250
Forest and Bird YouTube,245
Historical Maps of the Waikato Region,237
AnyQuestions,215
Christchurch uncovered,212
Raglan and District Museum NZMuseums,210
New Zealand Portrait Gallery NZMuseums,209
DigitalNZ Blog,207
He Kupu,205
NZPCN E-Newsletters,196
Navy Museum Medal Collection,186
MAI Journal,181
Waimate Museum and Archives NZMuseums,181
Bishop Selwyn Collection of Early Māori Documents,180
Waitangi Tribunal,176
Audio Foundation,168
Te Awamutu TV YouTube,163
WRD Laurie World War One Photographs,163
State Library of New South Wales Flickr,159
Roadside Stories,158
Plant & Food Research YouTube,157
Waikato Region Postcards,157
Toitū Otago Settlers Museum NZMuseums,150
Māori Postcards ca. 1890-1940,146
Audio Foundation YouTube,136
Canterbury Earthquake and Rebuild - Archived websites,135
Lost Christchurch,133
National Library of New Zealand YouTube,130
Australian National Maritime Museum Flickr,126
University of Canterbury Digital Library,124
Illumination & Commemoration,123
Tourism Research,105
The National Archives UK Flickr,100
Waikato University Campus Photos,100
Gus Fisher Gallery NZMuseums,96
New Zealand Journal of Forestry Science,94
Te Ipukarea Research Institute - YouTube,94
Kent Palmer Art,89
Waikato Museum Te Whare Taonga o Waikato YouTube,80
Landcare Trust YouTube,77
Forest and Bird,76
Te Manawa NZMuseums,76
Historical Photos of Waikato Rugby,75
WW1 Profiles,73
WW100 YouTube,71
Our Wāhine,70
Energy Efficiency and Conservation Authority,68
Stardome Education Resources,67
Freesound,65
Down to the Wire YouTube,63
The Phoenix Project,62
Data@Lincoln,61
Hocken Collections YouTube,60
NZ Business Podcast,55
Tourism New Zealand,55
Flax Collection,54
DigitalNZ Website,53
Collective Holiday Memories,50
Ministry for Culture and Heritage History Group Flickr,50
Toitū Otago Settlers Museum,50
Media Studies 101,49
Archives New Zealand Historical Film Footage,47
Te Aroha & Districts Museum NZMuseums,46
British Parliamentary Papers,45
Special Collection's Incunabula,38
Isel House NZMuseums,33
Whanganui Regional Museum NZMuseums,33
The Rutherford Journal,32
University of Otago Library Exhibitions,25
Kowai Archives NZMuseums,23
Make it Digital,23
Down to the Wire,22
Auckland Council Archives Document and Image Gallery,21
Shantytown NZMuseums,21
Silky Oak Museum NZMuseums,20
Waitaki Museum & Archive NZMuseums,17
Mix & Mash Literacy Category Content,16
Archives New Zealand Te Rua Mahara o te Kāwanatanga,13
Ghosts In The Form Of Gifts,10
NZ Digital Podcast,10
Amuri Historical Society NZMuseums,8
Mahika Kai Journal,7
Archives New Zealand Audio Visual Wiki,6
Patterns for Fabric Anatomy Teaching Models,6
Free Music Archive,5
FigShare,4
Internet Archive,3
Publications,3
Conrad Coker papers,1
HealthEd Health Resources,1
National Infrastructure Unit,1
NatureWatch NZ,1
Perspectives,1
