value,count
1900,17209637
1800,11159985
2000,2482630
1700,6087
1600,2782
1400,1109
1300,1014
1500,606
600,542
700,388
400,286
8000,152
200,150
100,111
900,105
1200,79
1100,69
1000,58
-100,56
0,49
3600,38
2500,29
300,28
800,24
4000,19
2600,13
3300,13
4500,13
500,12
2100,10
5200,10
5500,10
5800,9
3500,8
9500,8
9600,7
2900,6
3000,5
3900,5
4600,5
9800,5
2400,4
3400,4
4400,4
9700,4
-2000,3
4200,3
4800,3
5600,3
8100,3
9200,3
9300,3
2700,2
3800,2
41900,2
4700,2
6600,2
6800,2
6900,2
7400,2
9400,2
9900,2
-1157300,1
-1900,1
-578700,1
20200,1
2200,1
2300,1
2800,1
3700,1
4900,1
5100,1
6300,1
7100,1
71900,1
7300,1
8200,1
8300,1
