value,count
Papers Past,26122911
Evening Post,3772941
Otago Daily Times,1583125
Wanganui Chronicle,1163217
Hawera & Normanby Star,1075326
Marlborough Express,1036166
Auckland Star,1005149
Colonist,999872
Poverty Bay Herald,963395
Grey River Argus,890905
Thames Star,869635
Ashburton Guardian,830871
Star,819679
Wanganui Herald,784091
Radio New Zealand,777131
Nelson Evening Mail,693164
Taranaki Herald,677704
Feilding Star,650958
Otago Witness,603649
Wairarapa Daily Times,575596
West Coast Times,534690
Taranaki Daily News,525341
Hawke's Bay Herald,445395
Southland Times,418609
North Otago Times,417958
Timaru Herald,406184
Mataura Ensign,363231
TAPUHI,337999
Daily Telegraph,332729
Northern Advocate,327513
Daily Southern Cross,279640
Auckland Libraries Heritage Images Collection,267112
Matapihi,265371
Auckland Museum Library Catalogue,261411
Cenotaph Database,252931
Photographic Archive,241279
Bush Advocate,231016
Tuapeka Times,230544
The New Zealand Gazette,222987
New Zealand Electronic Text Collection,222512
Bruce Herald,221282
Te Papa Collections Online,217715
Clutha Leader,216282
Manawatu Standard,210799
Ellesmere Guardian,207019
CEISMIC,175685
NZ Truth,169139
Ohinemuri Gazette,168704
Observer,167452
Akaroa Mail and Banks Peninsula Advertiser,163792
Nelson Provincial Museum,153977
UC QuakeStudies,142003
Archway,140914
NZDF Personnel Records,140914
Manawatu Times,140493
Wellington Independent,135064
New Zealand Tablet,134145
Puke Ariki,133622
Kiwi Research Information Service,132722
Canterbury Museum,129754
Inangahua Times,120497
Swainson/Woods Collection,110995
National Library of New Zealand Catalogue,105049
Publications New Zealand,102502
Waikato Times,93891
Tyree Studio Collection,89387
"Rodney and Otamatea Times, Waitemata and Kaipara Gazette",87830
Morning Report,86460
Manawatu Herald,80758
Whites Aviation Ltd: Photographs,74870
photography,68672
Otautau Standard and Wallace County Chronicle,63907
Checkpoint,61047
Antarctica NZ Digital Asset Manager,58934
Whites Aviation Ltd :Photographs,54562
Anthropology Photographic Archive,51499
NZHistory,51245
Upper Hutt Newspaper Archive,51184
Figure.NZ,49517
TVNZ,46500
Botany,45816
Kete Christchurch,45056
New Zealand Cartoon Archive,44469
Appointment/Release of Liquidators,42283
Departmental,38804
Newshub,37638
Transactions and Proceedings of the Royal Society of New Zealand 1868-1961,37625
Christchurch City Libraries Flickr,37322
Lyttelton Times,35715
Te Ara - The Encyclopedia of New Zealand,35317
Lincoln University Living Heritage: Tikaka Tuku Iho,35198
ResearchSpace@Auckland,35016
Hawke's Bay Knowledge Bank,34669
Te Aroha News,34064
Kete New Plymouth,33782
Hocken Snapshop,32989
Upper Hutt City Library Heritage Collections,32969
Applications for Winding up/Liquidations,32944
Removals,32618
data.govt.nz,31485
V.C. Browne & Son NZ Aerial Photograph Collection,31461
mychillybin.co.nz,30553
New Zealand Free Lance,30376
Land Notices,30017
Kete Horowhenua,29431
publication,29102
Nine To Noon,27276
Trove,26767
Evening post (Newspaper. 1865-2002) :Photographic negatives and prints of the Evening Post newspaper,24846
NZHistory - Suffrage petition signatories,24721
Air Force Museum of New Zealand Photograph Collection,24700
botany,24633
Picture Wairarapa,24534
Negatives of the Evening Post newspaper,24001
SOUNZ,23687
NZmuseums,23263
History of the University of Auckland,22400
Digital Public Library of America,22168
History,21924
YouTube,21568
The Spinoff,21290
Crown Studios Ltd :Negatives and prints,21029
Business News,20766
Cartographic Collection,19417
World & Pacific News,19286
Hamilton Heritage Collections,18905
Main sequence,18897
Hutt News,18776
Manawatū Heritage,18691
UC Research Repository,18535
Kaipara and Waitemata Echo,17861
New Zealand Spectator and Cook's Strait Guardian,17774
K E Niven and Co :Commercial negatives,17676
The Panel,17464
Auckland Art Gallery Toi o Tāmaki,17443
Ellis Dudgeon Collection,17175
Pacific,17029
Afternoons,16762
Europeana,16424
Ministry for Culture and Heritage Te Ara Flickr,16415
Ministry for Culture and Heritage,16375
Hutt City Council Archives,15899
Applied Arts and Design,14934
Gisborne Photo News,14190
National Army Museum,14035
Wikipedia,14020
Massey Research Online,13980
Waiapu Church Gazette,13732
Entomology,13441
Sciblogs,13199
Radio New Zealand YouTube,13100
Dateline Pacific,13019
ResearchCommons@Waikato,12610
PCANZ,12412
Oral History Collection,12256
FigShare,12076
New Zealander,11954
Oxford Observer,11708
95bFM,11569
Auckland Art Gallery Collection,11153
Drawings and Prints Collection,10611
Archaeology,10554
Photography,10428
John Kinder Theological Library,10260
Manuscripts Collection,10203
Tāmiro,10001
Otago University Research Archive,9895
"Williams, Edgar Richard, 1891-1983: Negatives, lantern slides, stereographs, colour transparencies, monochrome prints, photographic ephemera",9680
"Timaru Herald Photographs, Personalities Collection",9504
Nights,9267
The James Wallace Arts Trust,9214
VUW ResearchArchive,9044
birds,9029
Midday Report,8803
News in Pacific Languages,8704
NZFUNGI,8674
Waimate Museum and Archives PastPerfect,8394
Authorities/Other Agencies of State,8338
Nelson Photo News,8222
Kingsford Collection,8093
Commercial negatives,7991
Landcare Research Digital Library,7962
Auckland Libraries Manuscripts Collection,7936
Tuwhera,7729
Flowering plants and ferns,7632
Culture Waitaki,7587
Early New Zealand Statutes,7476
Kete Hamilton,7382
DigitalNZ Stories,7271
Upbeat,7152
"Jesse Mulligan, 1–4pm",7114
Te Ao Hou,7066
Waimate Daily Advertiser,6941
Other images,6870
Lincoln University Research Archive,6791
"Maclay, Adam Henry Pearson, 1873-1955 :Negatives",6758
AtoJsOnline,6747
Christchurch City Libraries Heritage Images Collection,6669
New Zealand Gazette and Wellington Spectator,6576
"New Zealand. Department of Internal Affairs. War History Branch :Photographs relating to World War 1914-1918, World War 1939-1945, occupation of Japan, Korean War, and Malayan Emergency",6556
"Westra, Ans, 1936-: Photographs",6446
"Harding, William James, 1826-1899 :Negatives of Wanganui district",6399
NZHistory - South African War soldiers,6370
Progress,6309
Rural News,6190
eqnz.chch.2010 Flickr,6112
New Zealand Illustrated Magazine,6058
W E Brown Collection,5995
Archive of New Zealand Music,5963
NZ On Screen,5854
Sunday Morning,5833
Public Address,5816
Australian War Memorial. Research Centre,5695
Wellington City Recollect,5688
World War 1939-1945 official negatives - DA Series,5658
Open Access Victoria University of Wellington,5561
Dunedin Public Art Gallery,5542
Ephemera,5512
Appointment/Release of Receivers & Managers,5445
Sound Collection,5353
Early New Zealand Books,5313
Dominion Post (Newspaper): Photographic negatives and prints of the Evening Post and Dominion newspapers,5286
Otago University Research Heritage,5202
Saturday Morning,5165
Land Transfers/Joint Family Homes,5147
NZEI Heritage,5126
Archives New Zealand Te Rua Mahara o te Kāwanatanga Flickr,5124
Landfall Archive,4988
Geoffrey C Wood Collection,4962
"Winder, Duncan, 1919-1970: Architectural photographs",4803
F N Jones Collection,4748
Journal of the Polynesian Society,4745
Architectural photographs,4707
Afternoons with Jesse Mulligan,4684
Science Learning Hub,4442
"Fletcher, David, 1952- :Digital cartoons",4378
Alexander Turnbull Library Flickr,4307
"Hubbard, James, 1949-: Digital caricatures and cartoons",4259
Kete Rotorua,4258
28th Māori Battalion Te Ope Taua 28,4220
Te Manu Korihi,4220
The Bookshelf,4195
"Winter, Mark, 1958- : Digital cartoons published in the Southland Times and other papers",4109
Directory of Open Access Journals,4104
Miscellaneous Collection,4085
Feilding Library,4062
"Oettli, Max Christian, 1947- :Photographs of New Zealand scenes",3993
ephemera,3900
Summer Report,3899
HathiTrust Digital Library,3827
The Hub,3817
The New Zealand Medical Journal,3768
Bankruptcies,3767
Kete West Coast,3742
"McLean, Donald (Sir), 1820-1877 : Papers",3696
The Wireless,3628
Davis Collection,3592
First Up,3561
World,3505
Reserve Bank of New Zealand,3490
Unitec Research Bank,3433
Meetings/Last Dates for Debts & Claims,3349
General Section,3252
Community contributions,3202
"Nisbet, Alastair, 1958- :Digital cartoons",3191
Flora,3109
Other,3025
Inward letters in Maori,2937
This Way Up,2926
Hawke's Bay Weekly Times,2909
State Library of South Australia,2889
"Scott, Thomas, 1947- :[Digital cartoons published in the Dominion Post]",2855
State Library of NSW,2853
The British Library Flickr,2819
Kete Selwyn,2815
Whangarei Libraries,2794
Hard News,2741
Country Life,2739
General Notices,2713
"Tremain, Garrick, 1941- :[Digital cartoons published in the Otago Daily Times]",2708
"Greenfield, Pat",2697
Our Changing World,2686
"Hawkey, Allan Charles, 1941- :[Digital cartoons published in the Waikato Times].",2669
Aotearoa People's Network Kaharoa Flickr,2641
Cessation of Business in New Zealand,2584
Bloch Collection,2564
Mackelvie Trust,2524
"Webb, Murray, 1947- :Digital caricatures",2489
Further negatives of the Evening Post newspaper,2484
"Evans, Malcolm Paul, 1945- :Digital cartoons",2481
Film and Video Collection,2475
Museums Victoria,2475
manuscripts and archives,2473
Standing Room Only,2467
Ministry for Culture and Heritage Manatū Taonga Flickr,2332
Arts on Sunday,2305
Maori,2258
He Purapura Marara Scattered Seeds,2246
Marine,2238
National Library of Australia,2213
1962 - Gifford-Cross Photographic Collection,2198
Ministry for the Environment Publications,2176
1961 - Gifford-Cross Photographic Collection,2162
New Zealand Journal of History,2134
Rangitikei County Numbered Maps and Plans,2106
Records of the National Aeronautics and Space Administration,2074
Kete Tasman,2067
"Godber, Albert Percy, 1875-1949 :Collection of albums, prints and negatives",2062
New Zealand Fashion Museum,1996
1963 - Gifford-Cross Photographic Collection,1972
tv3.co.nz,1958
"Moreu, Michael, 1969-: [Digital cartoons published in the Christchurch Press and Fairfax Media]",1915
"Price, William Archer, 1866-1948 :Collection of post card negatives",1914
"Webb, Steffano, 1880-1967: Collection of negatives",1899
Incorporated Societies,1839
New Zealand Colonist and Port Nicholson Advertiser,1818
Māori Niupepa Collection,1816
painting and drawings,1802
Dunedin City Council Archives Flickr,1770
Digital Collections (Pictures),1762
State Library Victoria,1750
Business  News,1745
Open Polytechnic Repository,1742
"Royal New Zealand Returned and Services' Association :New Zealand official negatives, World War 1914-1918",1735
Te Reo Irirangi o Te Upoko o Te Ika: Sound recordings,1732
Ministry of Health Publications,1709
Canton Villages Mission,1679
RNZ Music,1672
Lately,1667
National Archives of Australia,1642
Chartwell,1625
Kai Tiaki,1603
"Winter, Mark, 1958- :[Digital cartoons published in the Southland Times and other papers]",1596
Customs,1573
Auckland Botanical Society,1565
The Press (Newspaper) :Negatives,1558
AgEcon Search,1527
Hurunui Kete,1521
Mediawatch,1515
AttitudeLive YouTube,1512
Powerhouse Museum,1486
Australian National Maritime Museum,1482
War Art Online,1477
New Zealand Public Radio : Concert FM New Zealand Composer Sound Archive,1444
Fair Play,1438
AudioCulture,1436
"Walker, Malcolm, 1950- :Digital cartoons",1418
Ken Fox Collection,1401
"Hubbard, James, 1949- :Digital caricatures and cartoons",1383
"Buist, Alastair",1374
At The Movies,1368
Flickr,1362
University of Auckland and National Library of New Zealand: Digital surrogates of New Zealand government agency maps,1332
"Smith, Sydney Charles, 1888-1972: Photographs of New Zealand",1320
"Digital copies of the New Zealand Topoplot Series 1:25,000 (NZMS 270)",1310
Commercial negatives taken in 1970,1284
"American Geographical Society Library, University of Wisconsin-Milwaukee Libraries",1271
Western Bay Community Archives,1254
"Body, Guy Keverne, 1967-: Digital cartoons published in New Zealand Herald",1248
Art,1233
State Library of Victoria,1229
Commercial negatives taken in 1973,1197
LERNZ Freshwater Database,1193
New Zealand Outdoor Art,1166
American Geographical Society Library Digital Photo Archive,1159
NZ Musician,1155
Commercial negatives taken in 1971,1146
American Geographical Society Library Digital Photo Archive - Oceania,1141
H Series negatives,1118
Central Otago Memory Bank,1116
Late Edition,1115
"Ekers, Paul, 1961-:[Digital cartoons published in the New Zealand Herald and other publications]",1103
University of Michigan Herbarium Catalog Collection,1099
"Doyle, Martin Maurice Michael Thomas, 1956- :Digital cartoons",1098
1960 - Gifford-Cross Photographic Collection,1097
Summer Noelle,1075
Regulation Summary,1073
The Wire,1072
Isaacs & Clark Collection,1066
New Zealand Free Lance : Photographic prints and negatives,1057
Tourist and Publicity,1057
PSA Journal,1044
"Whitehead, Henry Norford, 1870-1965 :Negatives of Napier, Hastings and district",1037
Deutsche Digitale Bibliothek,1016
German Digital Library,1016
New Zealand Cricket Museum,1016
Science Media Centre,1016
E-Tangata,1014
Commercial negatives taken in 1972,1004
Donald Buermann Lawrence Papers,998
Commercial negatives taken in 1969,986
Bett Loan Collection,957
Harrison Forman Collection,954
Marton Borough Numbered Maps and Plans,952
Radio NZ National Music,943
Charitable Trusts,940
CollectedArchives,935
Kete Hauraki Coromandel,925
Rangitikei County VF Plans,920
F G Gibbs Collection,916
1964 - Gifford-Cross Photographic Collection,913
Te Ahi Kaa,909
"Smith, Ashley W, 1948- :[Digital cartoons published in the Shipping Gazette, MG Business, or Presto]",903
Northwood brothers :Photographs of Northland,897
Commercial negatives taken in 1968,892
Archives New Zealand YouTube,876
Unnumbered Maps and Plans,872
The Sampler,859
Nga Manu Nature Reserve Flickr,851
"Pascoe, John Dobree, 1908-1972 :Photographic albums, prints and negatives",848
Burnett Collection,846
"Williams, Edgar Richard, 1891-1983 :Negatives, lantern slides, stereographs, colour transparencies, monochrome prints, photographic ephemera",839
Partnerships,837
N Baigent Collection,829
Department of Conservation Te Papa Atawhai YouTube,828
