value,count
No known copyright restrictions,21505187
Some rights reserved,5431686
All rights reserved,4197878
Unknown,337857
Creative Commons Attribution 3.0 New Zealand,9823
Crown copyright,8769
Modify,7465
Share,7465
No Known Copyright,6653
Creative Commons Attribution 2.0,6076
Other licensing (check with source agency),910
creative Commons Attribution - NonCommercial 3.0 New Zealand,392
CC BY 4.0,304
CC0,47
CC-BY-3.0-NZ,26
No known New Zealand copyright-related restrictions on re-use,22
No known rights restrictions,15
CC BY-NC-SA 4.0,14
MIT,14
Other,10
CC BY-NC 4.0,8
CC BY-NC-ND 4.0,3
CC-BY-ND-3.0-NZ,2
#VALUE!,1
Apache 2.0,1
CC BY-SA 4.0,1
CC-BY-NC-ND-3.0-NZ,1
GNU GPLv3,1
Rights reserved,1
Some rights reserved.,1
