value,count
Audio,394713
Item,303865
text,225842
Text,133492
article,110085
Magazines,106652
StillImage,96804
Journals,95330
image,76941
Still Image,62644
Books,57063
Thesis,41481
Journal article,35978
Piece,29342
advertising,29127
Photograph,20877
photo,17551
Maps,17067
photograph,16917
Scholarly text,14777
IMAGE,14581
Physical Object,14137
audio/mpeg,12003
Websites,9221
Image,8229
Conference item,8204
Theses / Dissertations,8064
Stories,7271
Sound,6013
illustration,5769
dataset,5398
Report,5164
MovingImage,4341
Object,3844
journal contribution,3264
Television,2822
InteractiveResource,2698
Subject Authority,2679
Master's,2462
Book item,2431
Art work,2168
Doctoral,2147
Book,2083
Conference paper,1894
Colour Photographic Print,1883
Journal Articles,1862
Name Authority,1854
video,1842
Working or discussion paper,1822
figure,1782
Documentary,1759
artwork,1728
interactive,1651
Conference Contributions - Published,1626
map,1517
Masters,1382
TEXT,1372
Conference Contributions - Other,1225
Moving Image,1132
thesis,1128
People,1079
Collection,1061
Art,1041
zoomify,1035
"photograph, black and white",939
Music Video,938
Unclassified,933
"photograph, album",926
conference contribution,906
ephemera,887
still image,810
Conference Contribution - Published,804
Drama,778
song,754
graph,645
document,644
Short Film,642
text/image,599
Letter,590
Comedy,566
Black & white photographic print,555
Reports,553
info:eu-repo/semantics/article,547
info:eu-repo/semantics/published Version,547
Discussion / Working Papers,541
Film,499
object,499
PhysicalObject,496
Watercolors,494
cartoon,484
diagram,455
Māori,441
Conference poster,434
Series,416
"Poster, chart, other",375
Document,372
Arts/Culture,369
Music,365
Posters,365
Dress,355
Numismatics,355
Music Notation,354
Paintings,346
Creative work,341
speech,320
Pop,318
Interactive Resource,317
VIDEO,281
News/Current Affairs,271
Drawings,270
presentation,270
Web,267
Pencil works,261
Children,239
Your Story,214
Exegesis,205
Scholarly Text,197
Sport,197
Illustrations,196
Conference Contribution - Unpublished,193
Videos,191
SOUND,190
Pen works,189
War,189
Lantern slides.,185
Book covers,180
Ink drawings,176
Photographs,172
Seminar Paper,172
Te Reo,171
Rock,165
Lifestyle,162
moving image,150
Alternative,141
community-contribution,140
Chapter,139
Pasifika,137
Oral Presentations,136
Dataset,134
Reality TV,134
Animation,130
Lithographs,128
Places,128
Nature,126
Popular Factual,125
Magazine,120
Specimen,113
Images,111
Prints,111
Group,110
music,110
Oil paintings,109
Place Authority,107
Adaptation,101
Young Adults,97
Patent,95
Chapters,93
Promotional,92
Romance,92
media,91
Coat,90
Recordtype Authority,89
chapter,88
Action,80
Day dress,79
Thriller,79
"photograph, colour",79
online resource,78
Travel,77
Society,76
whakapapa,76
Gelatin silver prints.,75
Adventure,74
poster,73
Evening dress,72
postage-stamp,72
Cartoons,71
Case study,69
Flying Nun,69
natural-sounds,68
Evening gown,67
Fantasy,67
Hat,66
Horror,64
postcard,64
Portrait photographs.,63
Watercolors.,62
Hip Hop,61
Swimsuit,61
report,61
Wash drawings,60
Captioned,59
Educational,59
table,58
Dance,57
LGBTQI+,57
Variety,57
Periodical,56
Sci-fi,56
Enterprise,55
Authored Books,54
sound,53
preprint,51
book,49
Ephemera,48
Magazine covers,48
Cartoons (Commentary),47
Artefact,46
Crime,46
Journal Article,46
Sepia print,46
Caricatures,45
Engravings,45
Postcards.,44
Working Papers,44
node,44
Pamphlets,43
Albumen prints.,41
Gelatin silver prints,41
Media,41
Mockumentary,41
Events,40
Black and white photograph,39
Cocktail dress,39
Indie,39
Print,39
Wedding dress,39
Maori,38
Poster,38
Soap Opera,38
Correspondence,37
Gouaches,35
Tools and equipment,35
Chat show,33
Group portraits.,33
Electronic,32
Jacket,32
Manuscripts,32
Newsletter,32
Research Project,32
Experimental,31
Periodicals,31
Photomechanical prints.,31
Arts,30
Archival Item,29
R&B,29
Women Decision-Makers of Tasman 1944-2018,29
Commercial,27
Clothing and personal items,25
Photocopy,25
wav,25
Bathing suit,24
Government publication,23
Published,23
Soul,23
Bikini,22
Extension Activity,22
Game Show,22
Conference Item,21
Reggae,21
Women Decision-makers of Nelson 1956-2018,21
Letterpress works,20
Polymer paintings,20
Transparencies,20
otago-places,20
Bookplates,19
Ceramics,19
auckland-places,19
bay-of-plenty-places,19
Brush works,18
Dub,18
Folk,18
Marlborough Women Standing tall,18
Peer reviewed article,18
Popular Press / News Item,18
Tie,18
canterbury-places,18
canterbury-region,18
software,18
Acrylic paintings,17
Easy Listening,17
Maps.,17
Quiz Show,17
history-of-immigration,17
northland-places,17
waikato-places,17
wellington-places,17
wellington-region,17
Compositions,16
Design,16
Photographic prints,16
auckland-region,16
nelson-region,16
northland-region,16
otago-region,16
waikato-region,16
Cartes de visite.,15
"Jacket, skirt",15
Journal,15
Pen works.,15
Scholarly Edition,15
"Top, skirt",15
Women's suit,15
aiff,15
diseases-of-sheep-cattle-and-deer,15
hawkes-bay-region,15
historic-earthquakes,15
manawatu-and-horowhenua-region,15
physical object,15
taranaki-region,15
volcanic-plateau-places,15
volcanic-plateau-region,15
wairarapa-region,15
west-coast-places,15
west-coast-region,15
whanganui-region,15
Jumpsuit,14
Nelson Heritage Homes,14
Portrait photographs,14
Postcard,14
Text Image,14
bay-of-plenty-region,14
english,14
hauraki-coromandel-region,14
southland-region,14
"Coat, dress",13
Collections,13
Digital Photograph,13
Digital image,13
"Dress, jacket",13
Inscriptions,13
Punk,13
Seaview Cemetery,13
T-shirt,13
Top,13
dairying-and-dairy-products,13
east-coast-region,13
introduced-land-birds,13
king-country-region,13
marlborough-region,13
south-canterbury-region,13
the-new-zealanders,13
Book review,12
Funk,12
Preprint Server Paper,12
Shirt,12
collectionstill image,12
economic-history,12
gold-and-gold-mining,12
hawkes-bay-places,12
mp3,12
rugby-union,12
scots,12
shrubs-and-small-trees-of-the-forest,12
southland-places,12
te-ara-a-history,12
Bookplate,11
Crayon drawings,11
Graphic design drawings,11
Printed Photograph,11
Stipple engravings,11
Vessels and fittings,11
Wood engravings,11
