value,count
1900,6464371
1910,6178640
1890,4758678
1880,3663331
1870,1844200
2010,1770667
1920,1741989
1930,1201115
1860,726969
1940,658329
2000,421910
2020,290646
1960,274765
1950,261727
1970,188858
1990,166874
1980,147218
1850,125768
1840,43237
1830,3152
1800,3109
1820,1905
1810,1415
1770,1095
1790,1056
1760,950
1400,949
1300,943
1630,805
1780,688
1710,667
1700,652
1640,594
1750,445
650,423
750,377
1730,332
1620,309
400,277
1660,238
1720,230
1650,229
1740,223
1600,221
2060,190
2040,175
1500,131
200,125
1670,123
1550,121
1680,100
1690,100
1580,97
1610,89
8020,80
2050,72
1490,69
610,67
2030,62
960,59
1510,58
1360,52
1590,51
1200,47
1520,47
640,44
100,43
1540,39
1100,37
3680,37
1470,34
1560,31
1000,26
-10,25
2500,25
910,25
190,23
1480,22
1570,22
50,22
150,21
800,21
8040,21
1120,20
8080,20
-30,19
1420,19
1450,16
1460,16
300,16
4050,14
900,14
0,13
1150,13
1390,13
1530,13
2600,13
8060,12
1270,10
2100,10
4500,10
5200,10
8050,10
160,9
220,9
-20,8
110,8
3500,8
5530,8
1010,7
1230,7
700,7
8010,7
1030,6
1430,6
2080,6
210,6
3320,6
5800,6
1040,5
1250,5
3000,5
350,5
40,5
-40,4
1050,4
1170,4
2400,4
3300,4
60,4
600,4
770,4
9500,4
1020,3
1060,3
1080,3
1180,3
1210,3
1220,3
1280,3
1350,3
1370,3
1440,3
250,3
270,3
290,3
3390,3
4000,3
4690,3
480,3
500,3
580,3
5870,3
70,3
950,3
9530,3
9680,3
9710,3
9860,3
-1920,2
1070,2
1110,2
1260,2
130,2
170,2
180,2
2070,2
2090,2
2520,2
2700,2
2980,2
310,2
330,2
3460,2
360,2
3900,2
3980,2
410,2
41990,2
4260,2
430,2
4410,2
4540,2
4750,2
4800,2
520,2
550,2
5500,2
5600,2
660,2
8030,2
880,2
90,2
9290,2
9650,2
9990,2
-1157280,1
-1860,1
-1940,1
-578640,1
1090,1
1140,1
1160,1
1190,1
1290,1
140,1
20210,1
2220,1
2300,1
240,1
2580,1
2590,1
280,1
2800,1
2920,1
2960,1
2970,1
2990,1
320,1
3400,1
3410,1
3650,1
3770,1
3830,1
3860,1
3990,1
4020,1
4040,1
4280,1
4420,1
4470,1
450,1
4550,1
4640,1
4680,1
4870,1
490,1
4990,1
5140,1
540,1
5630,1
570,1
630,1
6360,1
6610,1
6660,1
680,1
6820,1
6840,1
6940,1
6970,1
7120,1
71920,1
7380,1
7430,1
7470,1
810,1
8100,1
8120,1
8140,1
8210,1
8340,1
920,1
9220,1
930,1
9310,1
9340,1
9350,1
940,1
9430,1
9490,1
9580,1
9620,1
9640,1
970,1
9770,1
9830,1
9890,1
990,1
