value,count
1 b&w original negative(s),203161
Negatives,172529
Glass Monochrome/Media/Photography,149155
Photographic Negative,111086
image/jpeg,93086
Black and White Negative,88083
half plate/glass plate/Format/Photography,82641
Black and White Sheet Film,73202
image/tif,67160
Works of art,53994
application/pdf,52444
Aerial photographs,51357
Cartoons (Commentary),42710
Cellulosic film negative,42155
Digital images,42016
Negative,40934
quarter plate/glass plate/Format/Photography,40853
Glass plate negative,40569
Film negatives,36455
"Cellulosic film negative, 1/2 plate",35675
1 digital cartoon(s),34658
Orientation: Horizontal image,32918
Black and white negative,29355
35 mm,27042
Colour Negative,23006
Film negative,22367
1 digital image,22244
text/html,20695
Print,17857
Photographs,17709
Photograph,16944
Photo Record,16515
1 electronic document  : PDF file.,15899
image/pjpeg,15101
Colour 120 Roll Film,14579
1 b&w original photographic print(s),14541
Glass negatives,14279
1 online resource : colour illustrations,12257
Orientation: Vertical image,12224
Black and White 120 Roll Film,12165
"Glass negative, 4.75 x 6.5 inches",11953
"Cellulosic film negative, 6.5 x 6.5 cm",11636
Acetate negative,11049
1 online resource,10001
Photographic negative,9514
4 x 5/glass plate/Format/Photography,9006
"Cellulosic film negative, 6.5 x 8.5 inches",8413
Manuscripts,8397
35mm,8302
Colour 35mm Film,8053
Photographs/Paper Products/Man-made Materials,7939
1 online resource (1 audio file),7861
35mm Slide,7685
Photographic Print,7422
Portraits,7306
1 b&w copy negative(s),6883
Audiocassettes,6882
Print in album,6671
Colour slide,6651
Digital file,6648
Oral histories,6290
1 C60 cassette(s),6255
Black and white print,6042
"Glass negative, 3.25 x 4.25 inches",5724
Ephemera,5552
"Glass negative, 4.25 x 3.25 inches",5343
Dry plate negatives,5298
Speed: 1 7/8 ips,5177
Tape width: 1/8 inch,5168
Material: gamma ferric oxide,5152
application/x-shockwave-flash,5037
sixth plate/glass plate/Format/Photography,4973
Cellulose acetate roll film,4928
4 b&w original negative(s) 120 strips containing 12 images,4904
Electronic documents,4689
Card/Paper Products/Man-made Materials,4522
"Dry plate glass negative, 1/2 plate",4482
Watercolours,4406
Electronic records (Digital records),4384
Glass negative,4363
6 x 8/glass plate/Format/Photography,4313
Ink drawings,4313
Cellulosic film negative 3.25 x 4.25 inches,4296
Black & white photographic print,4203
"Cellulosic film negative, ¼ plate",4055
Open reel audiotapes,3999
Dry plate glass negative,3992
120mm,3957
Slide,3924
1 digital image(s),3872
1 watercolour(s),3708
Cellulosic film negative 6.5 x 6.5 inches,3649
8 x 10/glass plate/Format/Photography,3578
Write-protection tab: out,3447
"1 map : col., digital, TIFF file.",3437
1 online resource : colour,3359
Stereographs,3344
Albumen prints,3249
Magnetic Disk,3205
Paper/Paper Products/Man-made Materials,3137
Web site. Irregular,3091
Glass plate negative Glass plate negative,3081
1 negative : black and white ; 35 mm.,3042
Cartes de visite,2999
Colour photographic print,2940
Caricatures,2913
Dry plate glass negative 3.25 x 4.25 inches,2902
Digital photographs,2821
etching,2802
1 drawing(s),2746
"Dry plate glass negative, 6.5 x 8.5 inches",2741
Photographic print,2723
Magnetic Media,2688
Posters,2567
Postcard,2545
Colour photograph,2484
2 digital cartoon(s),2478
Metal,2477
Colour negative,2473
Photolithographs,2461
Colour Transparency,2408
Silver gelatin print,2382
Black and White 35mm Film,2351
Newspaper notice,2347
"Dry plate glass negative, 1/1 plate",2345
1 Electronic document(s),2288
Poster,2237
"Negative, 135 mm., Black and White Negative. Print: None.",2214
Group portraits,2171
Digital photograph,2110
Photographic Materials,2072
120 mm,2013
Stereographic film negative,1917
Sound recordings,1912
1 online resource : illustrations,1908
Gelatin silver prints,1798
Pencil works,1787
Paper,1742
1 colour art print(s),1741
Newspaper,1739
Advertisements,1738
"1 map ; digital, TIFF file.",1726
watercolour,1717
Brand: NZOHA,1716
1 folder(s),1705
1 colour photo-mechanical print(s),1679
Newspaper article,1642
1 map : col.,1620
Black/Ink/Man-made Materials,1584
Dry plate glass negative 6.5 x 4.75 inches,1575
"1 7"" reel(s)",1538
No negatives found,1538
Landscape photographs,1535
Material: polyester (PET),1535
Photographic prints,1521
pdf,1520
13 x 9,1510
Copy Negative,1508
Album Print,1499
Marines (Visual works),1485
Electronic reproductions,1428
Cellulosic Film Negative,1424
Photographic/Man-made Materials,1414
Fabric,1411
Topographic maps,1409
Library Record,1403
Slides,1403
15 x 10,1398
Greyscale print,1392
Audiotapes,1383
Digital maps,1377
"1 5"" reel(s)",1372
Photolithograph,1361
Computer graphics,1348
Plastic/Photographic/Man-made Materials,1335
application/octet-stream,1329
Ink/Man-made Materials,1311
Updated irregularly,1310
Wood,1308
Image,1296
"1 photograph : black and white, negative, acetate ; 8 x 10.5 cm",1290
35mm slide,1286
1 map ;,1285
Print-Electronic,1275
gelatin silver print,1270
Copy negative,1264
1 online resource : colour illustrations.,1248
1 Hours Duration,1216
Dry plate glass negative 6.5 x 8.5 inches,1190
image/gif,1188
1 b&w art print(s),1176
Object Record,1151
Plastic Monochrome/Media/Photography,1134
Cellulosic film negative 1/2 plate,1125
"processed material, paper",1124
oil on canvas,1118
35mm black and white negative,1115
"Negative, 120 mm., Black and White Negative. Print: None.",1113
1 piece (2 pages on 1 leaf),1093
Dry plate glass negative 4.75 x 6.5 inches,1090
Dry plate glass negative 6 x 6 centimetres,1083
Dry plate glass negative 4 x 5 inches,1070
Drawing,1061
1 online resource : illustrations (some colour),1051
1:15840,1021
Glass/Photographic/Man-made Materials,1017
Colour Photographic Print,1013
Postcards,1007
1:63360,998
Dry plate glass negative 4.5 x 6.5 inches,996
Abstracts,988
"1 map : digital, TIFF file.",986
"1 10"" reel(s)",980
1 digital image(s) scanned from original foil,980
Stereographic dry plate glass negative,972
1 original cartoon(s),951
"JPG image only, no TIF or JP2000 available, Digital image. Print: None.",947
"Cellulosic film negative, 3.25 x 4.25 inches",943
"digital copy (scanned) original: processed material, paper",914
Lantern slide,911
Silver,897
Transparency,895
Electronic,890
