value,count
en,24471678
eng,104034
English,17035
en_NZ,8048
Mi,1816
Māori,1477
mi,655
zxx,579
mao,441
Undetermined,278
French,275
de,263
German,167
en_US,91
mi_NZ,70
Latin,66
other,57
und,52
chi,51
EN,48
la,48
smo,43
No linguistic content,41
fre,37
ton,35
zh,35
mul,33
ENG,32
es,30
Italian,29
ger,28
Chinese,24
fr,24
Dutch,23
"Greek, Modern (1453-)",19
Samoan,18
kor,17
spa,16
lat,14
rar,14
hin,13
Spanish,12
Arabic,11
ara,11
Japanese,10
it,10
Polish,9
english,9
fij,8
niu,8
rus,8
tkl,8
dut,7
ita,7
pt,7
En,6
Hungarian,6
aa,6
per,6
Tahitian,5
jpn,5
ru,5
tvl,5
Persian,4
Rarotongan,4
Russian,4
Swedish,4
pol,4
por,4
Eng,3
Tonga (Tonga Islands),3
gil,3
ind,3
ja,3
som,3
tel,3
tha,3
to,3
vie,3
Enlish,2
Gaelic,2
epo,2
pan,2
rum,2
tgl,2
tib,2
urd,2
Bengali,1
Czech,1
En Fr,1
Engliah,1
Englich,1
English (with French abstract),1
English and Portuguese,1
"English, German, French",1
"English, Serbian",1
"English, Spanish",1
English/Maori,1
English; Chinese,1
Englsgh,1
Fijian,1
Geez,1
Hindi,1
Lithuanian,1
Maori,1
Māori; English,1
Niuean,1
Romanian,1
Serbian,1
Spanish; Castilian,1
Te Reo Māori,1
Tokelau,1
Tongan,1
Urdu,1
afr,1
amh,1
arc,1
ben,1
bis,1
bur,1
cpe,1
en-nz,1
fra,1
gd_NZ,1
gre,1
hun,1
khm,1
kin,1
map,1
may,1
nya,1
pus,1
sna,1
srp,1
swa,1
tam,1
tir,1
tog,1
wel,1
