value,count
No known copyright restrictions,21194939
Some rights reserved,3339854
All rights reserved,2027442
Crown copyright (All metadata for this record is available under the Creative Commons Attribution 3.0 New Zealand licence.),218771
No known Copyright,208632
Creative Commons Attribution 4.0 International License,184398
Creative Commons Attribution-NonCommercial,140914
All Rights Reserved,119610
© Auckland Museum CC BY,103842
Fairfax Media Licence. This material is subject to copyright. It may be used for private study and research purposes only and may not be copied or reproduced for any reason without Fairfax Media’s prior written consent. All Fairfax Media material in the QuakeStudies Digital Archive has been labelled with a copyright and licence statement. Requests for permission to use the material in any other way must be made to syndication@fairfaxmedia.co.nz.,89944
"Copyright or other restrictions may apply to this image.  Please check our terms of use before reusing, if in doubt contact Auckland Libraries",57618
No Known Copyright Restrictions,53085
Creative Commons Attribution 4.0 International,51833
Attribution 4.0 International (CC BY 4.0),51475
All text is licensed under the Creative Commons Attribution-NonCommercial 3.0 New Zealand Licence. Commercial re-use may be allowed on request. All non-text content is subject to specific conditions.,50295
http://digitool.auckland.ac.nz/cc_byncnd.html,43574
CC:BY-NC-ND,41442
http://rsnz.natlib.govt.nz/legalstatements.html,37625
Content licensed under Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported License,32316
This work is licensed under a Creative Commons Attribution 3.0 New Zealand License,31363
Creative Commons Attribution-NonCommercial 4.0 International License.,29536
Please check copyright,29166
http://creativecommons.org/licenses/by-sa/3.0/nz/,28165
CC-BY-NC-SA Attribution + Noncommercial + ShareAlike,27400
CC BY 4.0,26337
Cultural Permissions Apply,25849
This work is licensed under a Creative Commons Attribution-Noncommercial 3.0 New Zealand License,24832
Creative Commons Attribution 3.0 New Zealand,24640
https://masterton.spydus.co.nz/cgi-bin/spydus.exe/MSGTRNGEN/WPAC/PICTUREWAIRARAPA?HOMEPRMS=PICQUICKPARAMS,24238
Creative Commons Licence: Attribution CC BY,24186
http://digitool.auckland.ac.nz/cc_byncnd_au125.html,22928
https://researchspace.auckland.ac.nz/docs/uoa-docs/rights.htm,21673
"Photo: (c) Jon Sullivan, some rights reserved (CC BY);",20600
CC BY-NC-ND 4.0,18294
"Creative Commons BY-NC 3.0. Creative Commons Attribution NonCommercial 3.0. You are free to share, copy, distribute and transmit the work or to remix and adapt the work under the following conditions: you must attribute the work in the manner specified by the author or licensor (but not in any way that suggests that they endorse you or your use of the work) and you may not use this work for commercial purposes.",17275
Text is available under the Creative Commons Attribution-ShareAlike License; additional terms may apply.,14020
Public Domain,12684
Creative Commons - CC BY-NC,12592
http://creativecommons.org/licences/by-nc/3.0/nz,12445
CC:BY-NC-ND: This work is licensed under a Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 New Zealand License,12271
This work is licensed under a Creative Common Attribution – Non Commercial – No Derivatives 3.0 New Zealand.,11918
"Photo: (c) Jenny Christianson, some rights reserved (CC BY-NC);",11884
Photo: no rights reserved;,11709
"Photo: (c) Stephen Thorpe, some rights reserved (CC BY-NC);",11442
"Items in ResearchSpace are protected by copyright, with all rights reserved, unless otherwise indicated. Previously published items are made available in accordance with the copyright policy of the publisher.",11120
The Author,10821
"Photo: (c) jacqui-nz, some rights reserved (CC BY-NC);",10231
