content_partner,primary_collection,items_total,usage,count,usage_total
95bFM,95bFM,9822,All rights reserved,9822,9822
95bFM,95bFM YouTube,709,All rights reserved,709,709
AgEcon Search,AgEcon Search,1527,All rights reserved,1527,1527
Air Force Museum of New Zealand,Air Force Museum of New Zealand Photograph Collection,16608,Share,16589,16608
Air Force Museum of New Zealand,Air Force Museum of New Zealand Photograph Collection,16608,Modify,16572,16608
Air Force Museum of New Zealand,Air Force Museum of New Zealand Photograph Collection,16608,Use commercially,4144,16608
Air Force Museum of New Zealand,Air Force Museum of New Zealand Photograph Collection,16608,All rights reserved,19,16608
Alexander Turnbull Library,Alexander Turnbull Library Flickr,4307,Modify,4307,4307
Alexander Turnbull Library,Alexander Turnbull Library Flickr,4307,Share,4307,4307
Alexander Turnbull Library,Alexander Turnbull Library Flickr,4307,Use commercially,4307,4307
Alexander Turnbull Library,TAPUHI,333206,Unknown,212912,329490
Alexander Turnbull Library,TAPUHI,333206,All rights reserved,63843,329490
Alexander Turnbull Library,TAPUHI,333206,Modify,52735,329490
Alexander Turnbull Library,TAPUHI,333206,Share,52735,329490
Alexander Turnbull Library,TAPUHI,333206,Use commercially,52735,329490
Alexander Turnbull Library,Te Ao Hou,7066,All rights reserved,7066,7066
Alexander Turnbull Library,Transactions and Proceedings of the Royal Society of New Zealand 1868-1961,37625,All rights reserved,4200,4200
Amuri Historical Society,Amuri Historical Society NZMuseums,8,All rights reserved,8,8
Antarctica New Zealand,Antarctica NZ Digital Asset Manager,55348,Share,42887,55348
Antarctica New Zealand,Antarctica NZ Digital Asset Manager,55348,All rights reserved,12461,55348
Antarctica New Zealand,Antarctica NZ Digital Asset Manager,55348,Use commercially,1394,55348
Antarctica New Zealand,Antarctica NZ Digital Asset Manager,55348,Modify,1364,55348
Aotearoa People's Network Kaharoa,Aotearoa People's Network Kaharoa Flickr,2641,Modify,2523,2641
Aotearoa People's Network Kaharoa,Aotearoa People's Network Kaharoa Flickr,2641,Share,2523,2641
Aotearoa People's Network Kaharoa,Aotearoa People's Network Kaharoa Flickr,2641,All rights reserved,118,2641
Ara Institute of Canterbury,Ara Institute of Canterbury Repository,292,All rights reserved,292,292
Archives Central,Archives Central,7113,Unknown,7060,7113
Archives Central,Archives Central,7113,Share,51,7113
Archives Central,Archives Central,7113,Modify,50,7113
Archives Central,Archives Central,7113,Use commercially,22,7113
Archives Central,Archives Central,7113,All rights reserved,2,7113
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Audio Visual Wiki,6,All rights reserved,6,6
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Historical Film Footage,47,Modify,47,47
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Historical Film Footage,47,Share,47,47
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Historical Film Footage,47,Use commercially,47,47
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Te Rua Mahara o te Kāwanatanga,13,All rights reserved,13,13
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Te Rua Mahara o te Kāwanatanga Flickr,4914,Share,4914,4914
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Te Rua Mahara o te Kāwanatanga Flickr,4914,Modify,4899,4914
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Te Rua Mahara o te Kāwanatanga Flickr,4914,Use commercially,4899,4914
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand YouTube,592,Modify,577,592
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand YouTube,592,Share,577,592
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand YouTube,592,Use commercially,577,592
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand YouTube,592,All rights reserved,15,592
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archway,140914,Modify,140914,140914
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archway,140914,Share,140914,140914
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Shared Repository,2,Modify,2,2
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Shared Repository,2,Share,2,2
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Shared Repository,2,Use commercially,2,2
Archives New Zealand Te Rua Mahara o te Kāwanatanga,War Art Online,1477,Modify,1477,1477
Archives New Zealand Te Rua Mahara o te Kāwanatanga,War Art Online,1477,Share,1477,1477
Archives New Zealand Te Rua Mahara o te Kāwanatanga,War Art Online,1477,Use commercially,1477,1477
AttitudeLive,AttitudeLive YouTube,1477,All rights reserved,1475,1475
