value,count
1914,789167
1900,704326
1908,695629
1909,693434
1918,675823
1907,664348
1905,647469
1915,632759
1916,624829
1906,623867
1902,621320
1903,620383
1913,618821
1904,610928
1912,608784
1910,604352
1917,593025
1911,590811
1919,589761
1901,588688
1899,547424
1898,517830
1920,499417
1895,498929
1896,496209
1897,480498
1894,477126
1893,449293
1892,440632
1891,427111
1890,426465
1889,424168
1888,414646
1887,399548
1884,396789
1885,373634
1883,373117
1886,371195
1882,317429
1881,315390
1880,280008
1879,265770
2018,248879
1878,245050
1877,220948
2017,199489
1876,198563
2016,189154
1875,186751
2011,180239
1874,175051
1921,173388
2013,169069
2014,168607
2015,167925
1930,167820
2012,161339
2010,154965
1873,153341
2020,152650
1924,151942
1923,147062
1929,142634
1922,140709
1872,140372
1928,138705
2019,138322
2021,137836
1940,133330
1870,131296
1939,129177
1871,128784
1927,124359
1869,122104
1935,121065
1868,119575
1926,119079
1936,116689
1925,116534
1933,116252
1934,115769
1931,112600
1932,111558
1937,109629
1938,108749
2009,106809
1941,104740
1945,102280
1867,98992
1866,95027
1942,87714
2008,86047
1944,84458
1943,84257
1865,78081
1864,67420
1960,65325
1863,55409
1969,47535
2007,47188
1950,45476
1862,41938
1970,40367
1959,34924
2006,34797
2005,31581
1952,29286
1962,27756
2004,27154
1957,26936
1860,26831
2000,26566
1968,26393
1958,26382
1961,26337
1955,26124
1980,25828
1956,25638
1965,25186
1949,25070
1963,24653
1861,24062
2003,23449
1964,22827
1999,22557
1971,22096
1967,21717
1947,21110
2002,20957
1953,20947
1859,20871
1954,20744
1966,20116
1997,20068
1858,19880
1979,19749
1973,19541
2001,19509
1998,19282
1994,18972
1990,18554
1974,18375
1951,18350
1985,18252
1972,17786
1975,17758
1948,17498
1989,16866
1981,16756
1946,16595
1977,16585
1996,16521
1978,15626
1995,15314
1993,15175
1857,14046
1982,13904
1976,13802
1988,13575
1984,13532
1992,12771
1983,12580
1986,12146
1987,12125
1991,12021
1852,11502
1853,11430
1856,11224
1854,11045
1855,9340
1850,9241
1851,8167
1849,7259
1848,7141
1847,6516
1846,4668
1843,4178
1845,3448
1842,3299
1840,2992
1844,2650
1841,1754
1800,1314
1801,1018
1400,934
1300,927
1711,583
1820,552
1769,543
1830,508
1630,504
1839,483
650,423
1833,413
1838,390
1835,382
1701,381
750,376
1837,343
1770,329
2029,327
1790,320
1636,291
1836,270
400,269
1826,237
1827,230
1700,228
1816,203
1818,191
1834,189
1804,187
1644,184
1780,177
1819,177
1832,177
1817,175
1777,164
1815,162
1825,162
1802,161
1810,161
1736,160
1779,160
1750,159
1822,158
1829,150
1775,148
1823,147
1774,137
1814,135
1760,128
1828,128
1821,127
1622,121
1824,120
1798,119
1831,119
1773,114
1805,111
1811,110
1792,109
1791,107
1621,105
200,103
1778,102
1784,101
2061,100
1600,97
1788,93
1813,93
1793,92
1799,92
1809,92
1635,91
1795,91
1796,91
1723,90
1797,90
1812,89
1807,86
1601,82
1662,82
2043,80
1785,79
1650,78
1633,76
2025,75
1500,73
1766,72
1806,72
1772,70
1787,68
8025,68
1740,67
1776,66
618,66
1641,65
1808,65
1647,64
1756,64
1789,64
1735,63
1583,62
960,59
1803,56
1550,53
1640,51
1642,51
1368,50
1751,48
1765,48
1767,48
1794,46
1624,45
2060,44
641,43
1645,42
1755,42
1781,42
1720,41
1745,41
1768,41
1631,40
1643,40
1620,38
1680,38
1649,36
2022,36
3685,36
100,35
1664,35
1759,35
1646,34
1670,34
1786,34
1603,33
1730,32
2040,32
1648,31
1200,30
1629,30
1632,30
1651,30
1749,30
1771,30
1782,30
1764,29
1501,28
2027,28
1733,27
1753,27
1783,26
1667,25
1710,25
1722,25
2500,25
1555,24
1690,24
1757,24
1763,24
1101,23
1623,23
1660,23
918,23
1627,22
1652,22
1743,22
1000,21
1490,20
150,20
1552,20
1425,19
8042,19
1653,18
1656,18
1657,18
1758,18
8083,18
1201,17
1301,17
1618,17
1625,17
1639,17
1673,17
1724,17
1754,17
2028,17
2037,17
2063,17
1658,16
1666,16
1675,16
1696,16
1752,16
1761,16
2039,16
2044,16
2050,16
1401,15
1475,15
1497,15
1610,15
1615,15
1638,15
1665,15
1679,15
1697,15
1762,15
2026,15
54,15
1100,14
1512,14
1545,14
1546,14
1619,14
1634,14
1668,14
1685,14
1721,14
1725,14
1737,14
1744,14
1747,14
2045,14
4050,14
1392,13
1654,13
1655,13
1699,13
1715,13
2034,13
2055,13
2600,13
300,13
800,13
-24,12
1120,12
1150,12
1573,12
1597,12
1682,12
1695,12
1708,12
1732,12
1746,12
1748,12
8061,12
1589,11
1669,11
1672,11
1674,11
1693,11
1719,11
1727,11
2024,11
-1,10
1450,10
1470,10
1616,10
1661,10
1663,10
1692,10
1706,10
1714,10
1739,10
2041,10
2042,10
206,10
2065,10
4500,10
5200,10
1,9
1493,9
1502,9
1510,9
1511,9
1524,9
1559,9
1595,9
1599,9
1684,9
1718,9
2023,9
2053,9
2056,9
2059,9
2064,9
1481,8
1499,8
1515,8
160,8
1637,8
1677,8
1717,8
1726,8
1741,8
2057,8
5539,8
8022,8
8051,8
1508,7
1509,7
1520,7
1551,7
1567,7
1590,7
1617,7
1671,7
1687,7
1688,7
1694,7
1702,7
1705,7
1713,7
1716,7
1728,7
1729,7
197,7
3500,7
401,7
1238,6
1465,6
1529,6
1676,6
1683,6
1689,6
1691,6
1709,6
1731,6
1734,6
1738,6
2046,6
209,6
3320,6
55,6
5800,6
700,6
-3,5
1127,5
1279,5
1519,5
1521,5
1525,5
1528,5
1530,5
1549,5
1570,5
1580,5
1587,5
1594,5
1609,5
1628,5
1698,5
1742,5
194,5
2030,5
2054,5
2100,5
220,5
801,5
-22,4
-31,4
-8,4
1001,4
117,4
1250,4
1275,4
1495,4
1514,4
1516,4
1523,4
1540,4
1560,4
1566,4
1569,4
1588,4
1593,4
1598,4
1608,4
1611,4
1613,4
1704,4
1712,4
201,4
2031,4
2047,4
2080,4
3300,4
351,4
8011,4
8023,4
900,4
901,4
907,4
-13,3
-15,3
-2,3
101,3
1034,3
1040,3
1466,3
1482,3
1486,3
1492,3
1494,3
1496,3
1498,3
1518,3
1526,3
1542,3
1543,3
1544,3
1547,3
1558,3
1562,3
1564,3
1568,3
1581,3
1586,3
1596,3
1602,3
1612,3
1659,3
1681,3
1686,3
1703,3
1707,3
198,3
2038,3
2049,3
2068,3
211,3
221,3
2400,3
3005,3
3392,3
41,3
4694,3
5876,3
600,3
770,3
805,3
9535,3
9863,3
-1915,2
-26,2
-4,2
1014,2
1016,2
1023,2
1051,2
1125,2
114,2
1175,2
1225,2
1280,2
1350,2
1379,2
1431,2
1440,2
1451,2
1454,2
1460,2
1476,2
1480,2
1483,2
1484,2
1485,2
1505,2
1506,2
1507,2
1513,2
1522,2
1531,2
1553,2
1556,2
1565,2
1575,2
1582,2
1592,2
1614,2
1678,2
191,2
193,2
199,2
2,2
2032,2
205,2
2066,2
2067,2
2069,2
2071,2
2105,2
219,2
250,2
2527,2
276,2
295,2
3000,2
305,2
3462,2
3901,2
4000,2
41993,2
4262,2
437,2
4415,2
4540,2
4757,2
4809,2
501,2
550,2
5600,2
66,2
668,2
69,2
7,2
77,2
8013,2
8037,2
8041,2
8052,2
8082,2
906,2
95,2
9501,2
9650,2
9687,2
-1157274,1
-14,1
-1854,1
-1940,1
-20,1
-27,1
-578636,1
-7,1
1008,1
1010,1
1011,1
1019,1
1025,1
1031,1
1033,1
1037,1
104,1
1042,1
1046,1
105,1
1050,1
1054,1
106,1
1061,1
1065,1
1067,1
1071,1
1077,1
108,1
1081,1
1082,1
1086,1
109,1
1090,1
111,1
1111,1
1115,1
1124,1
1140,1
115,1
1151,1
1165,1
1178,1
1179,1
1182,1
1187,1
1189,1
1190,1
1210,1
1215,1
1217,1
1229,1
1230,1
1257,1
1265,1
1269,1
1274,1
1285,1
1292,1
1351,1
1360,1
1369,1
137,1
1376,1
138,1
1432,1
1435,1
1436,1
1437,1
1447,1
1455,1
1458,1
1461,1
1463,1
1464,1
1467,1
1469,1
147,1
1471,1
1472,1
1473,1
1474,1
1477,1
1478,1
1479,1
1491,1
1504,1
151,1
1517,1
1527,1
1532,1
1533,1
1534,1
1536,1
1538,1
1539,1
1541,1
1548,1
1557,1
1563,1
1571,1
1574,1
1576,1
1584,1
1585,1
1605,1
1606,1
169,1
175,1
177,1
181,1
186,1
195,1
196,1
20218,1
2033,1
2036,1
2051,1
2052,1
2058,1
2062,1
2081,1
2083,1
2090,1
2096,1
2103,1
2106,1
2107,1
216,1
2224,1
228,1
2300,1
2406,1
249,1
251,1
2589,1
2594,1
2700,1
2701,1
275,1
2801,1
282,1
2923,1
294,1
2964,1
2979,1
2983,1
2985,1
2994,1
301,1
316,1
317,1
325,1
335,1
337,1
3400,1
3413,1
350,1
3501,1
3654,1
367,1
3688,1
369,1
3777,1
3835,1
3866,1
3986,1
3988,1
3994,1
4006,1
4022,1
4049,1
405,1
410,1
419,1
4282,1
44,1
4426,1
4475,1
450,1
4554,1
4648,1
4689,1
48,1
481,1
483,1
484,1
4873,1
491,1
4999,1
50,1
500,1
5146,1
520,1
527,1
540,1
5500,1
5509,1
5631,1
575,1
581,1
582,1
589,1
601,1
610,1
630,1
6362,1
640,1
6619,1
6666,1
680,1
6828,1
6849,1
6941,1
6972,1
70,1
707,1
7122,1
71925,1
7385,1
7430,1
7477,1
751,1
771,1
8015,1
8107,1
8127,1
8147,1
819,1
8215,1
8341,1
880,1
886,1
910,1
919,1
9223,1
928,1
9292,1
9293,1
9315,1
932,1
9345,1
9355,1
942,1
9437,1
9498,1
950,1
9504,1
9509,1
957,1
